,Unnamed: 0,time ,image_name,steer
5278,5278,1.61164e+18,frame_1611643955478434086.jpeg,0.28
2126,2126,1.61164e+18,frame_1611643841340661764.jpeg,0.505
3455,3455,1.61164e+18,frame_1611643888743860722.jpeg,0.005
11778,11778,1.61164e+18,frame_1611644189132755041.jpeg,0.54
8562,8562,1.61164e+18,frame_1611644073448765993.jpeg,0.54
4615,4615,1.61164e+18,frame_1611643931751353502.jpeg,0.54
4928,4928,1.61164e+18,frame_1611643943180164337.jpeg,0.55
8535,8535,1.61164e+18,frame_1611644072548254728.jpeg,0.205
8949,8949,1.61164e+18,frame_1611644087536616325.jpeg,0.005
4671,4671,1.61164e+18,frame_1611643933625688314.jpeg,0.005
6350,6350,1.61164e+18,frame_1611643994243818283.jpeg,0.005
7339,7339,1.61164e+18,frame_1611644030383632421.jpeg,0.005
7090,7090,1.61164e+18,frame_1611644021295743704.jpeg,0.255
1789,1789,1.61164e+18,frame_1611643828929988384.jpeg,0.58
768,768,1.61164e+18,frame_1611643792672979832.jpeg,0.72
4260,4260,1.61164e+18,frame_1611643917868451834.jpeg,0.145
2287,2287,1.61164e+18,frame_1611643846742157698.jpeg,0.02
1745,1745,1.61164e+18,frame_1611643827463072062.jpeg,0.655
8424,8424,1.61164e+18,frame_1611644068846155405.jpeg,0.545
8889,8889,1.61164e+18,frame_1611644085030151606.jpeg,0.01
3541,3541,1.61164e+18,frame_1611643892378592253.jpeg,0.485
8448,8448,1.61164e+18,frame_1611644069646652460.jpeg,0.54
1508,1508,1.61164e+18,frame_1611643818961404085.jpeg,0.585
3717,3717,1.61164e+18,frame_1611643898276861191.jpeg,0.545
2167,2167,1.61164e+18,frame_1611643842714021206.jpeg,0.275
7756,7756,1.61164e+18,frame_1611644045594393015.jpeg,0.415
8921,8921,1.61164e+18,frame_1611644086605606794.jpeg,0.58
10323,10323,1.61164e+18,frame_1611644136924516201.jpeg,0.54
3647,3647,1.61164e+18,frame_1611643895920178652.jpeg,0.01
4334,4334,1.61164e+18,frame_1611643921479530811.jpeg,0.545
271,271,1.61164e+18,frame_1611643773782985449.jpeg,0.74
3547,3547,1.61164e+18,frame_1611643892578779221.jpeg,0.475
667,667,1.61164e+18,frame_1611643788514005423.jpeg,0.235
10870,10870,1.61164e+18,frame_1611644157298799038.jpeg,0.005
8791,8791,1.61164e+18,frame_1611644081098204613.jpeg,0.545
7949,7949,1.61164e+18,frame_1611644052552915096.jpeg,0.01
7690,7690,1.61164e+18,frame_1611644042725670099.jpeg,0.31
10475,10475,1.61164e+18,frame_1611644142733842611.jpeg,0.545
794,794,1.61164e+18,frame_1611643793537405491.jpeg,0.01
301,301,1.61164e+18,frame_1611643774790466785.jpeg,0.28
9161,9161,1.61164e+18,frame_1611644095112180233.jpeg,0.545
11125,11125,1.61164e+18,frame_1611644166253200769.jpeg,0.54
3164,3164,1.61164e+18,frame_1611643878297892094.jpeg,0.28
9408,9408,1.61164e+18,frame_1611644103785744190.jpeg,0.0
7937,7937,1.61164e+18,frame_1611644051749988556.jpeg,0.625
6710,6710,1.61164e+18,frame_1611644007864586115.jpeg,0.005
7497,7497,1.61164e+18,frame_1611644036287746429.jpeg,0.005
10662,10662,1.61164e+18,frame_1611644149742232800.jpeg,0.22
963,963,1.61164e+18,frame_1611643799163051605.jpeg,0.545
8983,8983,1.61164e+18,frame_1611644088667094946.jpeg,0.545
8829,8829,1.61164e+18,frame_1611644082368744135.jpeg,0.025
2898,2898,1.61164e+18,frame_1611643869077561140.jpeg,0.995
11574,11574,1.61164e+18,frame_1611644182278120756.jpeg,0.54
1247,1247,1.61164e+18,frame_1611643809623653173.jpeg,0.51
3650,3650,1.61164e+18,frame_1611643896021522999.jpeg,0.015
9871,9871,1.61164e+18,frame_1611644120880390406.jpeg,0.135
9422,9422,1.61164e+18,frame_1611644104256024599.jpeg,0.545
1515,1515,1.61164e+18,frame_1611643819194448948.jpeg,0.44
1445,1445,1.61164e+18,frame_1611643816851675987.jpeg,0.01
8243,8243,1.61164e+18,frame_1611644062807257414.jpeg,0.545
10134,10134,1.61164e+18,frame_1611644129829650164.jpeg,0.165
3835,3835,1.61164e+18,frame_1611643902881117821.jpeg,0.005
10371,10371,1.61164e+18,frame_1611644138542860508.jpeg,0.54
10030,10030,1.61164e+18,frame_1611644126199786186.jpeg,0.545
1539,1539,1.61164e+18,frame_1611643819993473291.jpeg,0.005
1697,1697,1.61164e+18,frame_1611643825867272139.jpeg,0.995
25,25,1.61164e+18,frame_1611643765550324202.jpeg,0.505
9915,9915,1.61164e+18,frame_1611644122351746798.jpeg,0.55
10771,10771,1.61164e+18,frame_1611644153399932146.jpeg,0.45
6888,6888,1.61164e+18,frame_1611644013819987774.jpeg,0.545
69,69,1.61164e+18,frame_1611643767027623177.jpeg,0.335
10720,10720,1.61164e+18,frame_1611644151688378811.jpeg,0.0
2076,2076,1.61164e+18,frame_1611643839667626143.jpeg,0.55
3206,3206,1.61164e+18,frame_1611643880443883181.jpeg,0.32
9550,9550,1.61164e+18,frame_1611644108551870346.jpeg,0.125
11593,11593,1.61164e+18,frame_1611644182912005901.jpeg,0.54
11086,11086,1.61164e+18,frame_1611644164951538563.jpeg,0.515
3280,3280,1.61164e+18,frame_1611643882911670685.jpeg,0.01
11741,11741,1.61164e+18,frame_1611644187885516405.jpeg,0.535
6165,6165,1.61164e+18,frame_1611643988062754631.jpeg,0.545
6639,6639,1.61164e+18,frame_1611644005491310596.jpeg,0.605
5957,5957,1.61164e+18,frame_1611643980472101688.jpeg,0.545
4255,4255,1.61164e+18,frame_1611643917700421572.jpeg,0.13
5824,5824,1.61164e+18,frame_1611643976029560804.jpeg,0.51
8745,8745,1.61164e+18,frame_1611644079565189600.jpeg,0.545
8639,8639,1.61164e+18,frame_1611644076016954184.jpeg,0.545
2158,2158,1.61164e+18,frame_1611643842411679745.jpeg,0.48
1817,1817,1.61164e+18,frame_1611643829863054037.jpeg,0.555
3426,3426,1.61164e+18,frame_1611643887780739069.jpeg,0.545
3997,3997,1.61164e+18,frame_1611643908330243826.jpeg,0.005
2124,2124,1.61164e+18,frame_1611643841273971081.jpeg,0.53
8182,8182,1.61164e+18,frame_1611644060732998133.jpeg,0.54
2435,2435,1.61164e+18,frame_1611643852706901550.jpeg,0.965
9401,9401,1.61164e+18,frame_1611644103550603867.jpeg,0.005
10216,10216,1.61164e+18,frame_1611644133330898046.jpeg,0.01
4462,4462,1.61164e+18,frame_1611643925768507242.jpeg,0.01
4243,4243,1.61164e+18,frame_1611643917297206879.jpeg,0.135
11037,11037,1.61164e+18,frame_1611644162897708178.jpeg,0.595
179,179,1.61164e+18,frame_1611643770710989237.jpeg,0.005
5041,5041,1.61164e+18,frame_1611643946955031157.jpeg,0.005
6313,6313,1.61164e+18,frame_1611643993009302139.jpeg,0.55
2025,2025,1.61164e+18,frame_1611643837968835354.jpeg,0.55
7794,7794,1.61164e+18,frame_1611644046856055021.jpeg,0.545
7953,7953,1.61164e+18,frame_1611644052820674658.jpeg,0.005
9962,9962,1.61164e+18,frame_1611644123923365116.jpeg,0.185
10740,10740,1.61164e+18,frame_1611644152359595060.jpeg,0.545
8177,8177,1.61164e+18,frame_1611644060565349340.jpeg,0.545
3056,3056,1.61164e+18,frame_1611643874384117842.jpeg,0.375
93,93,1.61164e+18,frame_1611643767833333731.jpeg,0.535
5389,5389,1.61164e+18,frame_1611643959879093409.jpeg,0.005
1160,1160,1.61164e+18,frame_1611643806717313528.jpeg,0.55
5258,5258,1.61164e+18,frame_1611643954802832365.jpeg,0.545
2290,2290,1.61164e+18,frame_1611643846842943430.jpeg,0.02
5067,5067,1.61164e+18,frame_1611643947817888260.jpeg,0.545
5668,5668,1.61164e+18,frame_1611643969771631718.jpeg,0.005
2628,2628,1.61164e+18,frame_1611643859149938822.jpeg,0.54
10834,10834,1.61164e+18,frame_1611644155988954544.jpeg,0.545
728,728,1.61164e+18,frame_1611643791262404680.jpeg,0.185
802,802,1.61164e+18,frame_1611643793803446770.jpeg,0.01
9109,9109,1.61164e+18,frame_1611644092868716955.jpeg,0.465
2581,2581,1.61164e+18,frame_1611643857579623222.jpeg,0.36
10672,10672,1.61164e+18,frame_1611644150077771664.jpeg,0.005
4077,4077,1.61164e+18,frame_1611643911776923656.jpeg,0.515
6234,6234,1.61164e+18,frame_1611643990373169661.jpeg,0.545
2274,2274,1.61164e+18,frame_1611643846305423021.jpeg,0.485
11772,11772,1.61164e+18,frame_1611644188931212902.jpeg,0.535
5015,5015,1.61164e+18,frame_1611643946086955070.jpeg,0.535
9613,9613,1.61164e+18,frame_1611644111420746326.jpeg,0.545
3923,3923,1.61164e+18,frame_1611643905846273661.jpeg,0.37
1985,1985,1.61164e+18,frame_1611643836624698877.jpeg,0.01
6969,6969,1.61164e+18,frame_1611644017259359360.jpeg,0.545
7133,7133,1.61164e+18,frame_1611644022738624334.jpeg,0.245
5661,5661,1.61164e+18,frame_1611643969538167477.jpeg,0.005
2845,2845,1.61164e+18,frame_1611643867295021772.jpeg,0.31
6470,6470,1.61164e+18,frame_1611643999142794847.jpeg,0.005
9887,9887,1.61164e+18,frame_1611644121415480137.jpeg,0.095
10106,10106,1.61164e+18,frame_1611644128756597757.jpeg,0.275
3832,3832,1.61164e+18,frame_1611643902780450106.jpeg,0.01
6109,6109,1.61164e+18,frame_1611643986194127798.jpeg,0.545
4714,4714,1.61164e+18,frame_1611643935066599846.jpeg,0.015
8312,8312,1.61164e+18,frame_1611644065109593630.jpeg,0.545
5159,5159,1.61164e+18,frame_1611643951499002457.jpeg,0.005
3882,3882,1.61164e+18,frame_1611643904460924387.jpeg,0.27
8701,8701,1.61164e+18,frame_1611644078090996981.jpeg,0.285
9761,9761,1.61164e+18,frame_1611644116401839733.jpeg,0.225
1540,1540,1.61164e+18,frame_1611643820026767254.jpeg,0.005
3503,3503,1.61164e+18,frame_1611643890605565786.jpeg,0.005
4614,4614,1.61164e+18,frame_1611643931717500448.jpeg,0.545
5449,5449,1.61164e+18,frame_1611643961894840479.jpeg,0.505
8431,8431,1.61164e+18,frame_1611644069079636097.jpeg,0.545
4774,4774,1.61164e+18,frame_1611643937077826262.jpeg,0.005
3611,3611,1.61164e+18,frame_1611643894712172747.jpeg,0.545
7848,7848,1.61164e+18,frame_1611644048646836996.jpeg,0.025
251,251,1.61164e+18,frame_1611643773111426353.jpeg,0.26
1636,1636,1.61164e+18,frame_1611643823824404955.jpeg,0.69
7930,7930,1.61164e+18,frame_1611644051382053375.jpeg,0.54
9913,9913,1.61164e+18,frame_1611644122284883499.jpeg,0.545
6104,6104,1.61164e+18,frame_1611643986026708364.jpeg,0.545
8387,8387,1.61164e+18,frame_1611644067611961603.jpeg,0.545
1138,1138,1.61164e+18,frame_1611643805975782394.jpeg,0.55
5771,5771,1.61164e+18,frame_1611643973377264261.jpeg,0.535
10567,10567,1.61164e+18,frame_1611644145818416357.jpeg,0.405
2884,2884,1.61164e+18,frame_1611643868610682964.jpeg,0.955
4606,4606,1.61164e+18,frame_1611643931447041988.jpeg,0.505
5193,5193,1.61164e+18,frame_1611643952632681608.jpeg,0.545
8733,8733,1.61164e+18,frame_1611644079165226698.jpeg,0.535
2366,2366,1.61164e+18,frame_1611643849879795551.jpeg,0.205
9433,9433,1.61164e+18,frame_1611644104625563145.jpeg,0.55
10213,10213,1.61164e+18,frame_1611644133230192900.jpeg,0.01
1630,1630,1.61164e+18,frame_1611643823623701572.jpeg,0.875
8973,8973,1.61164e+18,frame_1611644088334544659.jpeg,0.005
5906,5906,1.61164e+18,frame_1611643978775797844.jpeg,0.055
8465,8465,1.61164e+18,frame_1611644070213680029.jpeg,0.545
7945,7945,1.61164e+18,frame_1611644052285250425.jpeg,0.01
5602,5602,1.61164e+18,frame_1611643967570198059.jpeg,0.005
7312,7312,1.61164e+18,frame_1611644029482798815.jpeg,0.16
3322,3322,1.61164e+18,frame_1611643884317240238.jpeg,0.065
4286,4286,1.61164e+18,frame_1611643919172895670.jpeg,0.005
4380,4380,1.61164e+18,frame_1611643923024554491.jpeg,0.005
2084,2084,1.61164e+18,frame_1611643839934567451.jpeg,0.55
1213,1213,1.61164e+18,frame_1611643808485878229.jpeg,0.545
7465,7465,1.61164e+18,frame_1611644035212902069.jpeg,0.545
1194,1194,1.61164e+18,frame_1611643807852177620.jpeg,0.01
8458,8458,1.61164e+18,frame_1611644069980195999.jpeg,0.545
996,996,1.61164e+18,frame_1611643800272672176.jpeg,0.05
3561,3561,1.61164e+18,frame_1611643893044953108.jpeg,0.185
1366,1366,1.61164e+18,frame_1611643814218682766.jpeg,0.545
7702,7702,1.61164e+18,frame_1611644043129341841.jpeg,0.54
7049,7049,1.61164e+18,frame_1611644019928026676.jpeg,0.145
7255,7255,1.61164e+18,frame_1611644027571744919.jpeg,0.08
9154,9154,1.61164e+18,frame_1611644094878088474.jpeg,0.54
3809,3809,1.61164e+18,frame_1611643902008316755.jpeg,0.485
7296,7296,1.61164e+18,frame_1611644028948968172.jpeg,0.64
9440,9440,1.61164e+18,frame_1611644104860722542.jpeg,0.545
8101,8101,1.61164e+18,frame_1611644058012521744.jpeg,0.455
4335,4335,1.61164e+18,frame_1611643921513202429.jpeg,0.55
2906,2906,1.61164e+18,frame_1611643869346272230.jpeg,0.995
6938,6938,1.61164e+18,frame_1611644015874344587.jpeg,0.23
3392,3392,1.61164e+18,frame_1611643886648188591.jpeg,0.475
10303,10303,1.61164e+18,frame_1611644136253026247.jpeg,0.545
6918,6918,1.61164e+18,frame_1611644014824683189.jpeg,0.445
4110,4110,1.61164e+18,frame_1611643912873165607.jpeg,0.48
8121,8121,1.61164e+18,frame_1611644058681803703.jpeg,0.245
945,945,1.61164e+18,frame_1611643798560226917.jpeg,0.545
10460,10460,1.61164e+18,frame_1611644142230964184.jpeg,0.04
7798,7798,1.61164e+18,frame_1611644046988755465.jpeg,0.545
6041,6041,1.61164e+18,frame_1611643983917190552.jpeg,0.55
318,318,1.61164e+18,frame_1611643775361341715.jpeg,0.015
4208,4208,1.61164e+18,frame_1611643916128469706.jpeg,0.545
2930,2930,1.61164e+18,frame_1611643870152479172.jpeg,0.125
4991,4991,1.61164e+18,frame_1611643945285385847.jpeg,0.545
4789,4789,1.61164e+18,frame_1611643937579714775.jpeg,0.005
629,629,1.61164e+18,frame_1611643787241097927.jpeg,0.545
9802,9802,1.61164e+18,frame_1611644117773311377.jpeg,0.545
7217,7217,1.61164e+18,frame_1611644026294789791.jpeg,0.425
3688,3688,1.61164e+18,frame_1611643897302932739.jpeg,0.01
11311,11311,1.61164e+18,frame_1611644172992256403.jpeg,0.3
9463,9463,1.61164e+18,frame_1611644105633356810.jpeg,0.005
3658,3658,1.61164e+18,frame_1611643896291881323.jpeg,0.01
4330,4330,1.61164e+18,frame_1611643921344857454.jpeg,0.55
8700,8700,1.61164e+18,frame_1611644078057362318.jpeg,0.255
2696,2696,1.61164e+18,frame_1611643861427100182.jpeg,0.55
216,216,1.61164e+18,frame_1611643771944519043.jpeg,0.005
10763,10763,1.61164e+18,frame_1611644153131508827.jpeg,0.535
8572,8572,1.61164e+18,frame_1611644073782296896.jpeg,0.585
10681,10681,1.61164e+18,frame_1611644150379756451.jpeg,0.0
7705,7705,1.61164e+18,frame_1611644043311735392.jpeg,0.185
5050,5050,1.61164e+18,frame_1611643947253923893.jpeg,0.08
6683,6683,1.61164e+18,frame_1611644006962022066.jpeg,0.225
8857,8857,1.61164e+18,frame_1611644083308538675.jpeg,0.46
1818,1818,1.61164e+18,frame_1611643829896304607.jpeg,0.55
2082,2082,1.61164e+18,frame_1611643839867538691.jpeg,0.545
9593,9593,1.61164e+18,frame_1611644110104042292.jpeg,0.54
1305,1305,1.61164e+18,frame_1611643811559264421.jpeg,0.54
7131,7131,1.61164e+18,frame_1611644022671435833.jpeg,0.43
3528,3528,1.61164e+18,frame_1611643891944920301.jpeg,0.55
2787,2787,1.61164e+18,frame_1611643865344254494.jpeg,0.01
10345,10345,1.61164e+18,frame_1611644137662904024.jpeg,0.0
11267,11267,1.61164e+18,frame_1611644171007239819.jpeg,0.47
6778,6778,1.61164e+18,frame_1611644010138130665.jpeg,0.175
1196,1196,1.61164e+18,frame_1611643807918883801.jpeg,0.01
9242,9242,1.61164e+18,frame_1611644097808769941.jpeg,0.005
11615,11615,1.61164e+18,frame_1611644183649903059.jpeg,0.535
11398,11398,1.61164e+18,frame_1611644175882697821.jpeg,0.155
2883,2883,1.61164e+18,frame_1611643868577333927.jpeg,0.955
5854,5854,1.61164e+18,frame_1611643977034079790.jpeg,0.005
3016,3016,1.61164e+18,frame_1611643873042748213.jpeg,0.545
10132,10132,1.61164e+18,frame_1611644129695024729.jpeg,0.23
6820,6820,1.61164e+18,frame_1611644011544226408.jpeg,0.43
5922,5922,1.61164e+18,frame_1611643979308561802.jpeg,0.045
7754,7754,1.61164e+18,frame_1611644045527151823.jpeg,0.445
3005,3005,1.61164e+18,frame_1611643872673177481.jpeg,0.39
4573,4573,1.61164e+18,frame_1611643929498827219.jpeg,0.62
7225,7225,1.61164e+18,frame_1611644026563665152.jpeg,0.35
9429,9429,1.61164e+18,frame_1611644104491185665.jpeg,0.545
11753,11753,1.61164e+18,frame_1611644188291173458.jpeg,0.535
3833,3833,1.61164e+18,frame_1611643902814018488.jpeg,0.01
4196,4196,1.61164e+18,frame_1611643915729932547.jpeg,0.495
6704,6704,1.61164e+18,frame_1611644007664080858.jpeg,0.01
7195,7195,1.61164e+18,frame_1611644025555597544.jpeg,0.405
3590,3590,1.61164e+18,frame_1611643894010061264.jpeg,0.01
1979,1979,1.61164e+18,frame_1611643836423690796.jpeg,0.715
1151,1151,1.61164e+18,frame_1611643806414919853.jpeg,0.575
9288,9288,1.61164e+18,frame_1611644099348646641.jpeg,0.46
7162,7162,1.61164e+18,frame_1611644023913002014.jpeg,0.05
6106,6106,1.61164e+18,frame_1611643986093678951.jpeg,0.545
1899,1899,1.61164e+18,frame_1611643833172825575.jpeg,0.01
8354,8354,1.61164e+18,frame_1611644066511184692.jpeg,0.545
4916,4916,1.61164e+18,frame_1611643942779277563.jpeg,0.55
10830,10830,1.61164e+18,frame_1611644155720988750.jpeg,0.545
9254,9254,1.61164e+18,frame_1611644098208047152.jpeg,0.545
7244,7244,1.61164e+18,frame_1611644027202199459.jpeg,0.025
11570,11570,1.61164e+18,frame_1611644182145031691.jpeg,0.675
7788,7788,1.61164e+18,frame_1611644046657059908.jpeg,0.005
3935,3935,1.61164e+18,frame_1611643906252289772.jpeg,0.545
4011,4011,1.61164e+18,frame_1611643908801261663.jpeg,0.545
2562,2562,1.61164e+18,frame_1611643856943263292.jpeg,0.005
1396,1396,1.61164e+18,frame_1611643815218438387.jpeg,0.005
7029,7029,1.61164e+18,frame_1611644019260877609.jpeg,0.415
8426,8426,1.61164e+18,frame_1611644068912864447.jpeg,0.545
7399,7399,1.61164e+18,frame_1611644032385224581.jpeg,0.005
3421,3421,1.61164e+18,frame_1611643887614153624.jpeg,0.595
4754,4754,1.61164e+18,frame_1611643936404618263.jpeg,0.545
7109,7109,1.61164e+18,frame_1611644021932357788.jpeg,0.735
2726,2726,1.61164e+18,frame_1611643862963694572.jpeg,0.005
8932,8932,1.61164e+18,frame_1611644086971346378.jpeg,0.545
9537,9537,1.61164e+18,frame_1611644108115535975.jpeg,0.435
9222,9222,1.61164e+18,frame_1611644097143310070.jpeg,0.24
4968,4968,1.61164e+18,frame_1611643944517194510.jpeg,0.01
10862,10862,1.61164e+18,frame_1611644157030066252.jpeg,0.495
8008,8008,1.61164e+18,frame_1611644054899404287.jpeg,0.54
10176,10176,1.61164e+18,frame_1611644131987909317.jpeg,0.545
6885,6885,1.61164e+18,frame_1611644013719608307.jpeg,0.37
6245,6245,1.61164e+18,frame_1611643990740514040.jpeg,0.545
5142,5142,1.61164e+18,frame_1611643950933601141.jpeg,0.01
7139,7139,1.61164e+18,frame_1611644022940189600.jpeg,0.05
2789,2789,1.61164e+18,frame_1611643865411648035.jpeg,0.005
2709,2709,1.61164e+18,frame_1611643861862450123.jpeg,0.55
8947,8947,1.61164e+18,frame_1611644087470110655.jpeg,0.005
1361,1361,1.61164e+18,frame_1611643814052030802.jpeg,0.545
485,485,1.61164e+18,frame_1611643782398859262.jpeg,0.52
5055,5055,1.61164e+18,frame_1611643947419837713.jpeg,0.09
211,211,1.61164e+18,frame_1611643771777834892.jpeg,0.01
3510,3510,1.61164e+18,frame_1611643891025449991.jpeg,0.005
6840,6840,1.61164e+18,frame_1611644012215858698.jpeg,0.505
5797,5797,1.61164e+18,frame_1611643975125607491.jpeg,0.23
5407,5407,1.61164e+18,frame_1611643960483896255.jpeg,0.545
7686,7686,1.61164e+18,frame_1611644042591160059.jpeg,0.475
8900,8900,1.61164e+18,frame_1611644085692624092.jpeg,0.25
4054,4054,1.61164e+18,frame_1611643910879020691.jpeg,0.04
7216,7216,1.61164e+18,frame_1611644026261180878.jpeg,0.43
10847,10847,1.61164e+18,frame_1611644156525950432.jpeg,0.545
5699,5699,1.61164e+18,frame_1611643970811880350.jpeg,0.47
3210,3210,1.61164e+18,frame_1611643880578608036.jpeg,0.43
3179,3179,1.61164e+18,frame_1611643879209551334.jpeg,0.015
1363,1363,1.61164e+18,frame_1611643814118692160.jpeg,0.545
7211,7211,1.61164e+18,frame_1611644026093137503.jpeg,0.43
6748,6748,1.61164e+18,frame_1611644009135151386.jpeg,0.545
8931,8931,1.61164e+18,frame_1611644086938101530.jpeg,0.55
11548,11548,1.61164e+18,frame_1611644181412144661.jpeg,0.975
1103,1103,1.61164e+18,frame_1611643804793772697.jpeg,0.01
7422,7422,1.61164e+18,frame_1611644033152546406.jpeg,0.545
9461,9461,1.61164e+18,frame_1611644105566173792.jpeg,0.005
8450,8450,1.61164e+18,frame_1611644069713359833.jpeg,0.54
3846,3846,1.61164e+18,frame_1611643903250883102.jpeg,0.01
4570,4570,1.61164e+18,frame_1611643929397379398.jpeg,0.585
2251,2251,1.61164e+18,frame_1611643845532576323.jpeg,0.505
5039,5039,1.61164e+18,frame_1611643946888441086.jpeg,0.005
7713,7713,1.61164e+18,frame_1611644043797058582.jpeg,0.005
3305,3305,1.61164e+18,frame_1611643883748414040.jpeg,0.565
5071,5071,1.61164e+18,frame_1611643947950526953.jpeg,0.535
2346,2346,1.61164e+18,frame_1611643848731205463.jpeg,0.545
9516,9516,1.61164e+18,frame_1611644107414353848.jpeg,0.385
5821,5821,1.61164e+18,frame_1611643975929126978.jpeg,0.505
188,188,1.61164e+18,frame_1611643771011067152.jpeg,0.005
115,115,1.61164e+18,frame_1611643768572106361.jpeg,0.865
8233,8233,1.61164e+18,frame_1611644062473677874.jpeg,0.545
388,388,1.61164e+18,frame_1611643778682389736.jpeg,0.01
9095,9095,1.61164e+18,frame_1611644092403242826.jpeg,0.01
4159,4159,1.61164e+18,frame_1611643914500779390.jpeg,0.205
980,980,1.61164e+18,frame_1611643799734189034.jpeg,0.055
7528,7528,1.61164e+18,frame_1611644037329839230.jpeg,0.685
6844,6844,1.61164e+18,frame_1611644012349605560.jpeg,0.535
8070,8070,1.61164e+18,frame_1611644056974818230.jpeg,0.06
8869,8869,1.61164e+18,frame_1611644083815426111.jpeg,0.515
11354,11354,1.61164e+18,frame_1611644174420481920.jpeg,0.005
11539,11539,1.61164e+18,frame_1611644181110908985.jpeg,0.555
7555,7555,1.61164e+18,frame_1611644038228525877.jpeg,0.005
7573,7573,1.61164e+18,frame_1611644038827237129.jpeg,0.005
5741,5741,1.61164e+18,frame_1611643972224877834.jpeg,0.02
2050,2050,1.61164e+18,frame_1611643838801550388.jpeg,0.55
5703,5703,1.61164e+18,frame_1611643970947316647.jpeg,0.54
11443,11443,1.61164e+18,frame_1611644177377489805.jpeg,0.54
8420,8420,1.61164e+18,frame_1611644068712732315.jpeg,0.545
3058,3058,1.61164e+18,frame_1611643874450816154.jpeg,0.295
4712,4712,1.61164e+18,frame_1611643935000077486.jpeg,0.015
6010,6010,1.61164e+18,frame_1611643982247085810.jpeg,0.545
386,386,1.61164e+18,frame_1611643778548475742.jpeg,0.01
7730,7730,1.61164e+18,frame_1611644044720617533.jpeg,0.54
10690,10690,1.61164e+18,frame_1611644150681712389.jpeg,0.545
1271,1271,1.61164e+18,frame_1611643810424121618.jpeg,0.04
1245,1245,1.61164e+18,frame_1611643809556947947.jpeg,0.515
562,562,1.61164e+18,frame_1611643784991958618.jpeg,0.38
9487,9487,1.61164e+18,frame_1611644106439660311.jpeg,0.545
5884,5884,1.61164e+18,frame_1611643978038881779.jpeg,0.555
5368,5368,1.61164e+18,frame_1611643959173296452.jpeg,0.545
3707,3707,1.61164e+18,frame_1611643897941036224.jpeg,0.67
10878,10878,1.61164e+18,frame_1611644157567528486.jpeg,0.005
5849,5849,1.61164e+18,frame_1611643976866646051.jpeg,0.005
1942,1942,1.61164e+18,frame_1611643835183719397.jpeg,0.69
10057,10057,1.61164e+18,frame_1611644127105156898.jpeg,0.55
79,79,1.61164e+18,frame_1611643767363349915.jpeg,0.745
